"ProductKey","Product","Standard Cost","Color","Subcategory","Category"
"324","Road-650 Red, 62","413.1500","Red","Road Bikes","Bikes"
"325","Road-650 Red, 62","486.7100","Red","Road Bikes","Bikes"
"326","Road-650 Red, 44","413.1500","Red","Road Bikes","Bikes"
"327","Road-650 Red, 44","486.7100","Red","Road Bikes","Bikes"
"328","Road-650 Red, 48","413.1500","Red","Road Bikes","Bikes"
"329","Road-650 Red, 48","486.7100","Red","Road Bikes","Bikes"
"330","Road-650 Red, 52","413.1500","Red","Road Bikes","Bikes"
"331","Road-650 Red, 52","486.7100","Red","Road Bikes","Bikes"
"332","Road-650 Black, 58","413.1500","Black","Road Bikes","Bikes"
"333","Road-650 Black, 58","486.7100","Black","Road Bikes","Bikes"
"334","Road-650 Black, 60","413.1500","Black","Road Bikes","Bikes"
"335","Road-650 Black, 60","486.7100","Black","Road Bikes","Bikes"
"336","Road-650 Black, 62","413.1500","Black","Road Bikes","Bikes"
"337","Road-650 Black, 62","486.7100","Black","Road Bikes","Bikes"
"338","Road-650 Black, 44","413.1500","Black","Road Bikes","Bikes"
"339","Road-650 Black, 44","486.7100","Black","Road Bikes","Bikes"
"340","Road-650 Black, 48","413.1500","Black","Road Bikes","Bikes"
"341","Road-650 Black, 48","486.7100","Black","Road Bikes","Bikes"
"342","Road-650 Black, 52","413.1500","Black","Road Bikes","Bikes"
"343","Road-650 Black, 52","486.7100","Black","Road Bikes","Bikes"
"344","Mountain-100 Silver, 38","1912.1500","Silver","Mountain Bikes","Bikes"
"345","Mountain-100 Silver, 42","1912.1500","Silver","Mountain Bikes","Bikes"
"346","Mountain-100 Silver, 44","1912.1500","Silver","Mountain Bikes","Bikes"
"347","Mountain-100 Silver, 48","1912.1500","Silver","Mountain Bikes","Bikes"
"348","Mountain-100 Black, 38","1898.0900","Black","Mountain Bikes","Bikes"
"349","Mountain-100 Black, 42","1898.0900","Black","Mountain Bikes","Bikes"
"350","Mountain-100 Black, 44","1898.0900","Black","Mountain Bikes","Bikes"
"351","Mountain-100 Black, 48","1898.0900","Black","Mountain Bikes","Bikes"
"352","Mountain-200 Silver, 38","1117.8600","Silver","Mountain Bikes","Bikes"
"353","Mountain-200 Silver, 38","1265.6200","Silver","Mountain Bikes","Bikes"
"354","Mountain-200 Silver, 42","1117.8600","Silver","Mountain Bikes","Bikes"
"355","Mountain-200 Silver, 42","1265.6200","Silver","Mountain Bikes","Bikes"
"356","Mountain-200 Silver, 46","1117.8600","Silver","Mountain Bikes","Bikes"
"357","Mountain-200 Silver, 46","1265.6200","Silver","Mountain Bikes","Bikes"
"358","Mountain-200 Black, 38","1105.8100","Black","Mountain Bikes","Bikes"
"359","Mountain-200 Black, 38","1251.9800","Black","Mountain Bikes","Bikes"
"360","Mountain-200 Black, 42","1105.8100","Black","Mountain Bikes","Bikes"
"361","Mountain-200 Black, 42","1251.9800","Black","Mountain Bikes","Bikes"
"362","Mountain-200 Black, 46","1105.8100","Black","Mountain Bikes","Bikes"
"363","Mountain-200 Black, 46","1251.9800","Black","Mountain Bikes","Bikes"
"364","Mountain-300 Black, 38","598.4400","Black","Mountain Bikes","Bikes"
"365","Mountain-300 Black, 40","598.4400","Black","Mountain Bikes","Bikes"
"366","Mountain-300 Black, 44","598.4400","Black","Mountain Bikes","Bikes"
"367","Mountain-300 Black, 48","598.4400","Black","Mountain Bikes","Bikes"
"368","Road-250 Red, 44","1518.7900","Red","Road Bikes","Bikes"
"369","Road-250 Red, 48","1518.7900","Red","Road Bikes","Bikes"
"370","Road-250 Red, 52","1518.7900","Red","Road Bikes","Bikes"
"371","Road-250 Red, 58","1320.6800","Red","Road Bikes","Bikes"
"372","Road-250 Red, 58","1554.9500","Red","Road Bikes","Bikes"
"373","Road-250 Black, 44","1320.6800","Black","Road Bikes","Bikes"
"374","Road-250 Black, 44","1554.9500","Black","Road Bikes","Bikes"
"375","Road-250 Black, 48","1320.6800","Black","Road Bikes","Bikes"
"376","Road-250 Black, 48","1554.9500","Black","Road Bikes","Bikes"
"377","Road-250 Black, 52","1320.6800","Black","Road Bikes","Bikes"
"378","Road-250 Black, 52","1554.9500","Black","Road Bikes","Bikes"
"379","Road-250 Black, 58","1320.6800","Black","Road Bikes","Bikes"
"380","Road-250 Black, 58","1554.9500","Black","Road Bikes","Bikes"
"381","Road-550-W Yellow, 38","605.6500","Yellow","Road Bikes","Bikes"
"382","Road-550-W Yellow, 38","713.0800","Yellow","Road Bikes","Bikes"
"383","Road-550-W Yellow, 40","605.6500","Yellow","Road Bikes","Bikes"
"384","Road-550-W Yellow, 40","713.0800","Yellow","Road Bikes","Bikes"
"385","Road-550-W Yellow, 42","605.6500","Yellow","Road Bikes","Bikes"
"386","Road-550-W Yellow, 42","713.0800","Yellow","Road Bikes","Bikes"
"387","Road-550-W Yellow, 44","605.6500","Yellow","Road Bikes","Bikes"
"388","Road-550-W Yellow, 44","713.0800","Yellow","Road Bikes","Bikes"
"389","Road-550-W Yellow, 48","605.6500","Yellow","Road Bikes","Bikes"
"390","Road-550-W Yellow, 48","713.0800","Yellow","Road Bikes","Bikes"
"391","LL Fork","65.8100","NA","Forks","Components"
"392","ML Fork","77.9200","NA","Forks","Components"
"393","HL Fork","101.8900","NA","Forks","Components"
"394","LL Headset","15.1800","NA","Headsets","Components"
"395","ML Headset","45.4200","NA","Headsets","Components"
"396","HL Headset","55.3800","NA","Headsets","Components"
"397","LL Mountain Handlebars","17.9800","NA","Handlebars","Components"
"398","LL Mountain Handlebars","19.7800","NA","Handlebars","Components"
"399","ML Mountain Handlebars","24.9900","NA","Handlebars","Components"
"400","ML Mountain Handlebars","27.4900","NA","Handlebars","Components"
"401","HL Mountain Handlebars","48.5500","NA","Handlebars","Components"
"402","HL Mountain Handlebars","53.4000","NA","Handlebars","Components"
"403","LL Road Handlebars","17.9800","NA","Handlebars","Components"
"404","LL Road Handlebars","19.7800","NA","Handlebars","Components"
"405","ML Road Handlebars","24.9900","NA","Handlebars","Components"
"406","ML Road Handlebars","27.4900","NA","Handlebars","Components"
"407","HL Road Handlebars","48.5500","NA","Handlebars","Components"
"408","HL Road Handlebars","53.4000","NA","Handlebars","Components"
"409","ML Mountain Frame - Black, 38","185.8200","Black","Mountain Frames","Components"
"410","LL Mountain Front Wheel","26.9700","Black","Wheels","Components"
"411","ML Mountain Front Wheel","92.8100","Black","Wheels","Components"
"412","HL Mountain Front Wheel","133.3000","Black","Wheels","Components"
"413","LL Road Front Wheel","37.9900","Black","Wheels","Components"
"414","ML Road Front Wheel","110.2800","Black","Wheels","Components"
"415","HL Road Front Wheel","146.5500","Black","Wheels","Components"
"416","Touring Front Wheel","96.8000","Black","Wheels","Components"
"417","ML Road Frame-W - Yellow, 38","300.1200","Yellow","Road Frames","Components"
"418","ML Road Frame-W - Yellow, 38","360.9400","Yellow","Road Frames","Components"
"419","LL Mountain Rear Wheel","38.9600","Black","Wheels","Components"
"420","ML Mountain Rear Wheel","104.8000","Black","Wheels","Components"
"421","HL Mountain Rear Wheel","145.2800","Black","Wheels","Components"
"422","LL Road Rear Wheel","49.9800","Black","Wheels","Components"
"423","ML Road Rear Wheel","122.2700","Black","Wheels","Components"
"424","HL Road Rear Wheel","158.5300","Black","Wheels","Components"
"425","Touring Rear Wheel","108.7800","Black","Wheels","Components"
"426","ML Mountain Frame - Black, 40","185.8200","Black","Mountain Frames","Components"
"427","ML Mountain Frame - Black, 44","185.8200","Black","Mountain Frames","Components"
"428","ML Mountain Frame - Black, 48","185.8200","Black","Mountain Frames","Components"
"429","ML Road Frame-W - Yellow, 40","300.1200","Yellow","Road Frames","Components"
"430","ML Road Frame-W - Yellow, 40","360.9400","Yellow","Road Frames","Components"
"431","ML Road Frame-W - Yellow, 42","300.1200","Yellow","Road Frames","Components"
"432","ML Road Frame-W - Yellow, 42","360.9400","Yellow","Road Frames","Components"
"433","ML Road Frame-W - Yellow, 44","300.1200","Yellow","Road Frames","Components"
"434","ML Road Frame-W - Yellow, 44","360.9400","Yellow","Road Frames","Components"
"435","ML Road Frame-W - Yellow, 48","300.1200","Yellow","Road Frames","Components"
"436","ML Road Frame-W - Yellow, 48","360.9400","Yellow","Road Frames","Components"
"437","HL Road Frame - Black, 62","722.2600","Black","Road Frames","Components"
"438","HL Road Frame - Black, 62","868.6300","Black","Road Frames","Components"
"439","HL Road Frame - Black, 44","868.6300","Black","Road Frames","Components"
"440","HL Road Frame - Black, 44","868.6300","Black","Road Frames","Components"
"441","HL Road Frame - Black, 48","722.2600","Black","Road Frames","Components"
"442","HL Road Frame - Black, 48","868.6300","Black","Road Frames","Components"
"443","HL Road Frame - Black, 52","722.2600","Black","Road Frames","Components"
"444","HL Road Frame - Black, 52","868.6300","Black","Road Frames","Components"
"445","Men's Sports Shorts, S","24.7500","Black","Shorts","Clothing"
"446","Touring-Panniers, Large","51.5600","Grey","Panniers","Accessories"
"447","Cable Lock","10.3100","NA","Locks","Accessories"
"448","Minipump","8.2500","NA","Pumps","Accessories"
"449","Mountain Pump","10.3100","NA","Pumps","Accessories"
"450","Taillights - Battery-Powered","5.7700","NA","Lights","Accessories"
"451","Headlights - Dual-Beam","14.4300","NA","Lights","Accessories"
"452","Headlights - Weatherproof","18.5600","NA","Lights","Accessories"
"453","Men's Sports Shorts, M","24.7500","Black","Shorts","Clothing"
"454","Men's Sports Shorts, L","24.7500","Black","Shorts","Clothing"
"455","Men's Sports Shorts, XL","24.7500","Black","Shorts","Clothing"
"456","Women's Tights, S","30.9300","Black","Tights","Clothing"
"457","Women's Tights, M","30.9300","Black","Tights","Clothing"
"458","Women's Tights, L","30.9300","Black","Tights","Clothing"
"459","Men's Bib-Shorts, S","37.1200","Multi","Bib-Shorts","Clothing"
"460","Men's Bib-Shorts, M","37.1200","Multi","Bib-Shorts","Clothing"
"461","Men's Bib-Shorts, L","37.1200","Multi","Bib-Shorts","Clothing"
"462","Half-Finger Gloves, S","9.7100","Black","Gloves","Clothing"
"463","Half-Finger Gloves, S","9.1600","Black","Gloves","Clothing"
"464","Half-Finger Gloves, M","9.7100","Black","Gloves","Clothing"
"465","Half-Finger Gloves, M","9.1600","Black","Gloves","Clothing"
"466","Half-Finger Gloves, L","9.7100","Black","Gloves","Clothing"
"467","Half-Finger Gloves, L","9.1600","Black","Gloves","Clothing"
"468","Full-Finger Gloves, S","15.6700","Black","Gloves","Clothing"
"469","Full-Finger Gloves, M","15.6700","Black","Gloves","Clothing"
"470","Full-Finger Gloves, L","15.6700","Black","Gloves","Clothing"
"471","Classic Vest, S","23.7500","Blue","Vests","Clothing"
"472","Classic Vest, M","23.7500","Blue","Vests","Clothing"
"473","Classic Vest, L","23.7500","Blue","Vests","Clothing"
"474","Women's Mountain Shorts, S","26.1800","Black","Shorts","Clothing"
"475","Women's Mountain Shorts, M","26.1800","Black","Shorts","Clothing"
"476","Women's Mountain Shorts, L","26.1800","Black","Shorts","Clothing"
"477","Water Bottle - 30 oz.","1.8700","NA","Bottles and Cages","Accessories"
"478","Mountain Bottle Cage","3.7400","NA","Bottles and Cages","Accessories"
"479","Road Bottle Cage","3.3600","NA","Bottles and Cages","Accessories"
"480","Patch Kit/8 Patches","0.8600","NA","Tires and Tubes","Accessories"
"481","Racing Socks, M","3.3600","White","Socks","Clothing"
"482","Racing Socks, L","3.3600","White","Socks","Clothing"
"483","Hitch Rack - 4-Bike","44.8800","NA","Bike Racks","Accessories"
"484","Bike Wash - Dissolver","2.9700","NA","Cleaners","Accessories"
"485","Fender Set - Mountain","8.2200","NA","Fenders","Accessories"
"486","All-Purpose Bike Stand","59.4700","NA","Bike Stands","Accessories"
"487","Hydration Pack - 70 oz.","20.5700","Silver","Hydration Packs","Accessories"
"488","Short-Sleeve Classic Jersey, S","41.5700","Yellow","Jerseys","Clothing"
"489","Short-Sleeve Classic Jersey, M","41.5700","Yellow","Jerseys","Clothing"
"490","Short-Sleeve Classic Jersey, L","41.5700","Yellow","Jerseys","Clothing"
"491","Short-Sleeve Classic Jersey, XL","41.5700","Yellow","Jerseys","Clothing"
"492","HL Touring Frame - Yellow, 60","601.7400","Yellow","Touring Frames","Components"
"493","LL Touring Frame - Yellow, 62","199.8500","Yellow","Touring Frames","Components"
"494","HL Touring Frame - Yellow, 46","601.7400","Yellow","Touring Frames","Components"
"495","HL Touring Frame - Yellow, 50","601.7400","Yellow","Touring Frames","Components"
"496","HL Touring Frame - Yellow, 54","601.7400","Yellow","Touring Frames","Components"
"497","HL Touring Frame - Blue, 46","601.7400","Blue","Touring Frames","Components"
"498","HL Touring Frame - Blue, 50","601.7400","Blue","Touring Frames","Components"
"499","HL Touring Frame - Blue, 54","601.7400","Blue","Touring Frames","Components"
"500","HL Touring Frame - Blue, 60","601.7400","Blue","Touring Frames","Components"
"501","Rear Derailleur","53.9300","Silver","Derailleurs","Components"
"502","LL Touring Frame - Blue, 50","199.8500","Blue","Touring Frames","Components"
"503","LL Touring Frame - Blue, 54","199.8500","Blue","Touring Frames","Components"
"504","LL Touring Frame - Blue, 58","199.8500","Blue","Touring Frames","Components"
"505","LL Touring Frame - Blue, 62","199.8500","Blue","Touring Frames","Components"
"506","LL Touring Frame - Yellow, 44","199.8500","Yellow","Touring Frames","Components"
"507","LL Touring Frame - Yellow, 50","199.8500","Yellow","Touring Frames","Components"
"508","LL Touring Frame - Yellow, 54","199.8500","Yellow","Touring Frames","Components"
"509","LL Touring Frame - Yellow, 58","199.8500","Yellow","Touring Frames","Components"
"510","LL Touring Frame - Blue, 44","199.8500","Blue","Touring Frames","Components"
"511","ML Mountain Frame-W - Silver, 40","199.3800","Silver","Mountain Frames","Components"
"512","ML Mountain Frame-W - Silver, 42","199.3800","Silver","Mountain Frames","Components"
"513","ML Mountain Frame-W - Silver, 46","199.3800","Silver","Mountain Frames","Components"
"514","Rear Brakes","47.2900","Silver","Brakes","Components"
"515","LL Mountain Seat/Saddle","12.0400","NA","Saddles","Components"
"516","ML Mountain Seat/Saddle","17.3800","NA","Saddles","Components"
"517","HL Mountain Seat/Saddle","23.3700","NA","Saddles","Components"
"518","LL Road Seat/Saddle","12.0400","NA","Saddles","Components"
"519","ML Road Seat/Saddle","17.3800","NA","Saddles","Components"
"520","HL Road Seat/Saddle","23.3700","NA","Saddles","Components"
"521","LL Touring Seat/Saddle","12.0400","NA","Saddles","Components"
"522","ML Touring Seat/Saddle","17.3800","NA","Saddles","Components"
"523","HL Touring Seat/Saddle","23.3700","NA","Saddles","Components"
"524","LL Mountain Frame - Silver, 42","144.5900","Silver","Mountain Frames","Components"
"525","LL Mountain Frame - Silver, 44","144.5900","Silver","Mountain Frames","Components"
"526","LL Mountain Frame - Silver, 48","144.5900","Silver","Mountain Frames","Components"
"527","LL Mountain Frame - Silver, 52","144.5900","Silver","Mountain Frames","Components"
"528","Mountain Tire Tube","1.8700","NA","Tires and Tubes","Accessories"
"529","Road Tire Tube","1.4900","NA","Tires and Tubes","Accessories"
"530","Touring Tire Tube","1.8700","NA","Tires and Tubes","Accessories"
"531","LL Mountain Frame - Black, 42","136.7900","Black","Mountain Frames","Components"
"532","LL Mountain Frame - Black, 44","136.7900","Black","Mountain Frames","Components"
"533","LL Mountain Frame - Black, 48","136.7900","Black","Mountain Frames","Components"
"534","LL Mountain Frame - Black, 52","136.7900","Black","Mountain Frames","Components"
"535","LL Mountain Tire","9.3500","NA","Tires and Tubes","Accessories"
"536","ML Mountain Tire","11.2200","NA","Tires and Tubes","Accessories"
"537","HL Mountain Tire","13.0900","NA","Tires and Tubes","Accessories"
"538","LL Road Tire","8.0400","NA","Tires and Tubes","Accessories"
"539","ML Road Tire","9.3500","NA","Tires and Tubes","Accessories"
"540","HL Road Tire","12.1900","NA","Tires and Tubes","Accessories"
"541","Touring Tire","10.8400","NA","Tires and Tubes","Accessories"
"542","LL Mountain Pedal","17.9800","Silver/Black","Pedals","Components"
"543","ML Mountain Pedal","27.5700","Silver/Black","Pedals","Components"
"544","HL Mountain Pedal","35.9600","Silver/Black","Pedals","Components"
"545","LL Road Pedal","17.9800","Silver/Black","Pedals","Components"
"546","ML Road Pedal","27.5700","Silver/Black","Pedals","Components"
"547","HL Road Pedal","35.9600","Silver/Black","Pedals","Components"
"548","Touring Pedal","35.9600","Silver/Black","Pedals","Components"
"549","ML Mountain Frame-W - Silver, 38","199.3800","Silver","Mountain Frames","Components"
"550","LL Mountain Frame - Black, 40","136.7900","Black","Mountain Frames","Components"
"551","LL Mountain Frame - Silver, 40","144.5900","Silver","Mountain Frames","Components"
"552","Front Derailleur","40.6200","Silver","Derailleurs","Components"
"553","LL Touring Handlebars","20.4600","NA","Handlebars","Components"
"554","HL Touring Handlebars","40.6600","NA","Handlebars","Components"
"555","Front Brakes","47.2900","Silver","Brakes","Components"
"556","LL Crankset","77.9200","Black","Cranksets","Components"
"557","ML Crankset","113.8800","Black","Cranksets","Components"
"558","HL Crankset","179.8200","Black","Cranksets","Components"
"559","Chain","8.9900","Silver","Chains","Components"
"560","Touring-2000 Blue, 60","755.1500","Blue","Touring Bikes","Bikes"
"561","Touring-1000 Yellow, 46","1481.9400","Yellow","Touring Bikes","Bikes"
"562","Touring-1000 Yellow, 50","1481.9400","Yellow","Touring Bikes","Bikes"
"563","Touring-1000 Yellow, 54","1481.9400","Yellow","Touring Bikes","Bikes"
"564","Touring-1000 Yellow, 60","1481.9400","Yellow","Touring Bikes","Bikes"
"565","Touring-3000 Blue, 54","461.4400","Blue","Touring Bikes","Bikes"
"566","Touring-3000 Blue, 58","461.4400","Blue","Touring Bikes","Bikes"
"567","Touring-3000 Blue, 62","461.4400","Blue","Touring Bikes","Bikes"
"568","Touring-3000 Yellow, 44","461.4400","Yellow","Touring Bikes","Bikes"
"569","Touring-3000 Yellow, 50","461.4400","Yellow","Touring Bikes","Bikes"
"570","Touring-3000 Yellow, 54","461.4400","Yellow","Touring Bikes","Bikes"
"571","Touring-3000 Yellow, 58","461.4400","Yellow","Touring Bikes","Bikes"
"572","Touring-3000 Yellow, 62","461.4400","Yellow","Touring Bikes","Bikes"
"573","Touring-1000 Blue, 46","1481.9400","Blue","Touring Bikes","Bikes"
"574","Touring-1000 Blue, 50","1481.9400","Blue","Touring Bikes","Bikes"
"575","Touring-1000 Blue, 54","1481.9400","Blue","Touring Bikes","Bikes"
"576","Touring-1000 Blue, 60","1481.9400","Blue","Touring Bikes","Bikes"
"577","Touring-2000 Blue, 46","755.1500","Blue","Touring Bikes","Bikes"
"578","Touring-2000 Blue, 50","755.1500","Blue","Touring Bikes","Bikes"
"579","Touring-2000 Blue, 54","755.1500","Blue","Touring Bikes","Bikes"
"580","Road-350-W Yellow, 40","1082.5100","Yellow","Road Bikes","Bikes"
"581","Road-350-W Yellow, 42","1082.5100","Yellow","Road Bikes","Bikes"
"582","Road-350-W Yellow, 44","1082.5100","Yellow","Road Bikes","Bikes"
"583","Road-350-W Yellow, 48","1082.5100","Yellow","Road Bikes","Bikes"
"584","Road-750 Black, 58","343.6500","Black","Road Bikes","Bikes"
"585","Touring-3000 Blue, 44","461.4400","Blue","Touring Bikes","Bikes"
"586","Touring-3000 Blue, 50","461.4400","Blue","Touring Bikes","Bikes"
"587","Mountain-400-W Silver, 38","419.7800","Silver","Mountain Bikes","Bikes"
"588","Mountain-400-W Silver, 40","419.7800","Silver","Mountain Bikes","Bikes"
